feature,coefficient,abs_coefficient
elo_diff,0.44166158295225677,0.44166158295225677
wins_diff,-0.35516411032511186,0.35516411032511186
avg_duration_seconds_diff,0.32599039440435745,0.32599039440435745
age_diff,-0.323208822092943,0.323208822092943
losses_diff,0.29056079723662465,0.29056079723662465
ctrl_against_seconds_per_fight_diff,-0.20300188998873295,0.20300188998873295
ctrl_for_seconds_per_fight_diff,-0.1846470504964523,0.1846470504964523
td_attempted_per_fight_diff,0.13851435731211756,0.13851435731211756
recent_win_pct_diff,-0.12536383944820143,0.12536383944820143
win_pct_diff,0.11957179221267605,0.11957179221267605
a_stance_Unknown,-0.11954041119207433,0.11954041119207433
stance_matchup_Unknown_vs_Southpaw,-0.11742986886893557,0.11742986886893557
stance_matchup_Orthodox_vs_Unknown,0.11543619754311472,0.11543619754311472
td_absorbed_per_fight_diff,0.11371669400125418,0.11371669400125418
td_landed_per_fight_diff,0.1101971868214636,0.1101971868214636
b_stance_Unknown,0.1016346144407591,0.1016346144407591
stance_matchup_Unknown_vs_Orthodox,-0.09873417032840034,0.09873417032840034
fights_diff,-0.09809726669681333,0.09809726669681333
sig_absorbed_per_fight_diff,-0.09562682452007418,0.09562682452007418
stance_matchup_Sideways_vs_Open Stance,0.09261592309030613,0.09261592309030613
height_cm_diff,0.08925344844167211,0.08925344844167211
weight_kg_diff,0.08583953449085324,0.08583953449085324
reach_to_height_diff,0.0838907933620511,0.0838907933620511
weight_class_Lightweight,0.07388426592372992,0.07388426592372992
streak_diff,0.07233570782842975,0.07233570782842975
sig_landed_per_fight_diff,-0.06501995543760135,0.06501995543760135
stance_matchup_Switch_vs_Unknown,0.0636349774062803,0.0636349774062803
weight_class_Super Heavyweight,0.06331668336141594,0.06331668336141594
b_is_debut,0.062572870236552,0.062572870236552
is_debut_diff,-0.062086899115134264,0.062086899115134264
weight_class_Welterweight,-0.05176894977801505,0.05176894977801505
days_since_last_fight_diff,-0.05011341380571525,0.05011341380571525
stance_matchup_Sideways_vs_Southpaw,-0.049741671909715665,0.049741671909715665
stance_matchup_Unknown_vs_Switch,-0.047797354383389896,0.047797354383389896
sig_diff_per_fight_diff,0.04679117225486662,0.04679117225486662
longest_win_streak_diff,0.038061728232352425,0.038061728232352425
kd_for_per_fight_diff,-0.036442750456326424,0.036442750456326424
weight_class_Women's Bantamweight,-0.035820365843359875,0.035820365843359875
finish_win_rate_diff,0.03551039162707138,0.03551039162707138
b_stance_Sideways,0.03479735863292584,0.03479735863292584
stance_matchup_Orthodox_vs_Sideways,0.03479735863292583,0.03479735863292583
stance_matchup_Southpaw_vs_Unknown,0.03410002209030599,0.03410002209030599
weight_class_Catch Weight,0.03380392349591392,0.03380392349591392
sig_attempted_per_fight_diff,-0.032885108336677446,0.032885108336677446
finish_loss_rate_diff,-0.03233042523148441,0.03233042523148441
reach_cm_diff,-0.030850389845186035,0.030850389845186035
ko_tko_win_rate_diff,0.029097501678152782,0.029097501678152782
recent_sig_diff_diff,0.02874300568481376,0.02874300568481376
a_stance_Southpaw,0.02727450606055058,0.02727450606055058
stance_matchup_Southpaw_vs_Orthodox,0.02579800742283624,0.02579800742283624
weight_class_Open Weight,0.025637201167710066,0.025637201167710066
decision_win_rate_diff,-0.025141806410521297,0.025141806410521297
b_recent_sig_diff,-0.02392390549068616,0.02392390549068616
b_stance_Southpaw,-0.02237315328573481,0.02237315328573481
sig_accuracy_diff,0.022346767388806376,0.022346767388806376
kd_against_per_fight_diff,-0.021954294197489146,0.021954294197489146
stance_matchup_Orthodox_vs_Southpaw,-0.020456312157779554,0.020456312157779554
stance_matchup_Southpaw_vs_Switch,-0.01845431530729126,0.01845431530729126
td_accuracy_diff,-0.0173654631998814,0.0173654631998814
weight_class_Women's Strawweight,0.0170934825509428,0.0170934825509428
stance_matchup_Southpaw_vs_Open Stance,-0.016129636718197223,0.016129636718197223
a_recent_sig_diff,0.016123100283625874,0.016123100283625874
stance_matchup_Switch_vs_Switch,0.01604875373899754,0.01604875373899754
ctrl_diff_seconds_per_fight_diff,0.01557995344620201,0.01557995344620201
stance_matchup_Southpaw_vs_Southpaw,0.014531097668429506,0.014531097668429506
stance_matchup_Open Stance_vs_Orthodox,0.014308942408583799,0.014308942408583799
submission_win_rate_diff,0.014263583496174027,0.014263583496174027
weight_class_Middleweight,-0.013358635510101255,0.013358635510101255
a_is_debut,-0.013024110942708413,0.013024110942708413
weight_class_Bantamweight,-0.012655072479565904,0.012655072479565904
weight_class_Women's Flyweight,-0.012415063531163466,0.012415063531163466
stance_matchup_Sideways_vs_Orthodox,-0.011497590161662555,0.011497590161662555
a_stance_Switch,0.010786335683030496,0.010786335683030496
stance_matchup_Orthodox_vs_Open Stance,-0.010536658150461446,0.010536658150461446
a_stance_Sideways,0.010271930460376662,0.010271930460376662
stance_matchup_Open Stance_vs_Southpaw,-0.010240671111425353,0.010240671111425353
weight_class_Heavyweight,-0.010210389058999472,0.010210389058999472
b_stance_Open Stance,0.010080596856663309,0.010080596856663309
stance_matchup_Orthodox_vs_Orthodox,-0.009468235435011534,0.009468235435011534
weight_class_Light Heavyweight,0.009021157894216047,0.009021157894216047
a_stance_Orthodox,-0.00814982592851268,0.00814982592851268
stance_matchup_Orthodox_vs_Switch,0.007466831301361521,0.007466831301361521
a_stance_Open Stance,0.007270970431387045,0.007270970431387045
weight_class_Featherweight,-0.005743621612808526,0.005743621612808526
weight_class_Flyweight,-0.0046712428790532294,0.0046712428790532294
weight_class_Women's Featherweight,-0.0038075942087197846,0.0038075942087197846
td_diff_per_fight_diff,-0.0034709304655462297,0.0034709304655462297
stance_matchup_Unknown_vs_Unknown,-0.003208664744548733,0.003208664744548733
stance_matchup_Switch_vs_Orthodox,0.0020794507306735035,0.0020794507306735035
stance_matchup_Switch_vs_Southpaw,-0.0020194152301616906,0.0020194152301616906
b_stance_Orthodox,-0.0019189103335433702,0.0019189103335433702
b_stance_Switch,-0.00048119404958510794,0.00048119404958510794
