probability_bucket,count,avg_predicted_probability,actual_fighter_a_win_rate
0-10%,1,0.04255531295391856,0.0
10-20%,16,0.17404450651680686,0.0
20-30%,86,0.26239022831540537,0.29069767441860467
30-40%,212,0.3593687719792638,0.3018867924528302
40-50%,312,0.45051814714726535,0.4583333333333333
50-60%,327,0.5494041456255543,0.5840978593272171
60-70%,222,0.6434269000198628,0.6621621621621622
70-80%,55,0.7432553005092585,0.7090909090909091
80-90%,8,0.8217361986767657,1.0
90-100%,3,0.9637988681842025,0.6666666666666666
